ID,Assembly
1,"Mitte, Berlin, Germany"
2,"Kreuzberg, Berlin, Germany"
3,"Friedrichshain, Berlin, Germany"
4,"Prenzlauer Berg, Berlin, Germany"
5,"Charlottenburg, Berlin, Germany"
6,"Schoneberg, Berlin, Germany"
7,"Neukolln, Berlin, Germany"
8,"Tempelhof, Berlin, Germany"
9,"Steglitz, Berlin, Germany"
10,"Zehlendorf, Berlin, Germany"
11,"Wilmersdorf, Berlin, Germany"
12,"Spandau, Berlin, Germany"
13,"Reinickendorf, Berlin, Germany"
14,"Pankow, Berlin, Germany"
15,"Lichtenberg, Berlin, Germany"
16,"Marzahn, Berlin, Germany"
17,"Hellersdorf, Berlin, Germany"
18,"Treptow, Berlin, Germany"
19,"Kopenick, Berlin, Germany"
20,"Wedding, Berlin, Germany"
21,"Moabit, Berlin, Germany"
22,"Tiergarten, Berlin, Germany"
23,"Dahlem, Berlin, Germany"
24,"Grunewald, Berlin, Germany"
25,"Wannsee, Berlin, Germany"
26,"Tegel, Berlin, Germany"
27,"Adlershof, Berlin, Germany"
28,"Friedenau, Berlin, Germany"
29,"Lankwitz, Berlin, Germany"
30,"Mariendorf, Berlin, Germany"
31,"Rudow, Berlin, Germany"
32,"Britz, Berlin, Germany"
33,"Buckow, Berlin, Germany"
34,"Lichterfelde, Berlin, Germany"
35,"Nikolassee, Berlin, Germany"
36,"Altglienicke, Berlin, Germany"
37,"Karlshorst, Berlin, Germany"
